Year,Yield_beans,JAN-p,FEB-p,MAR-p,APR-p,MAY-p,JUN-p,JUL-p,AUG-p,SEP-p,OCT-p,JAN-txa,FEB-txa,MAR-txa,APR-txa,MAY-txa,JUN-txa,JUL-txa,AUG-txa,SEP-txa,OCT-txa,JAN-taa,FEB-taa,MAR-taa,APR-taa,MAY-taa,JUN-taa,JUL-taa,AUG-taa,SEP-taa,OCT-taa,JAN-tna,FEB-tna,MAR-tna,APR-tna,MAY-tna,JUN-tna,JUL-tna,AUG-tna,SEP-tna,OCT-tna,JAN-txm,FEB-txm,MAR-txm,APR-txm,MAY-txm,JUN-txm,JUL-txm,AUG-txm,SEP-txm,OCT-txm,JAN-tnm,FEB-tnm,MAR-tnm,APR-tnm,MAY-tnm,JUN-tnm,JUL-tnm,AUG-tnm,SEP-tnm,OCT-tnm
1999-01-01,1930.0,0.03,0.22,0.21,2.26,2.47,2.74,0.95,4.51,1.57,0.18,45.9,55.21,57.68,57.93,68.52,80.43,90.55,84.9,73.53,67.94,33.29,39.39,41.7,45.45,55.57,65.93,76.16,71.87,59.0,51.13,20.68,23.57,25.67,32.97,42.8,51.69,61.77,58.6,44.93,34.32,64.0,73.0,77.0,82.0,86.0,97.0,101.0,95.0,90.0,86.0,6.0,9.0,15.0,16.0,26.0,42.0,49.0,46.0,31.0,23.0
1998-01-01,1890.0,0.0,0.83,0.18,0.35,2.08,2.14,6.67,1.03,1.05,1.99,45.29,45.57,49.06,61.23,75.58,78.07,88.77,85.42,84.73,62.06,31.92,34.89,35.95,46.05,60.21,63.37,75.34,71.45,69.28,50.27,18.55,24.21,23.17,30.87,44.84,48.67,61.9,57.48,53.83,38.48,62.0,64.0,81.0,82.0,88.0,96.0,104.0,97.0,98.0,80.0,-0.0,17.0,-3.0,21.0,31.0,35.0,57.0,53.0,43.0,31.0
1997-01-01,2120.0,0.24,0.36,0.11,0.57,2.42,4.73,7.28,2.26,1.39,2.31,38.16,43.21,57.74,55.6,70.74,80.1,89.06,82.94,78.7,64.65,25.32,31.62,41.26,41.53,56.42,66.83,73.89,70.18,64.6,50.39,12.48,20.04,24.77,27.47,42.1,53.57,58.71,57.42,50.5,36.13,75.0,67.0,82.0,79.0,90.0,93.0,102.0,93.0,92.0,90.0,-14.0,8.0,4.0,5.0,28.0,41.0,45.0,50.0,38.0,6.0
1996-01-01,1840.0,0.39,0.08,1.06,0.64,4.98,3.44,2.15,4.38,4.41,0.39,39.13,48.93,48.48,65.17,67.29,81.1,85.65,85.39,72.7,66.0,24.34,33.29,33.02,48.58,55.27,67.4,71.58,70.55,60.2,50.72,9.55,17.03,18.5,32.0,43.26,53.7,57.73,55.83,47.36,35.47,66.0,74.0,77.0,84.0,91.0,89.0,100.0,98.0,91.0,89.0,-21.0,-18.0,-8.0,20.0,33.0,43.0,50.0,49.0,30.0,22.0
1995-01-01,2030.0,0.46,0.3,0.69,1.68,9.34,5.3,4.85,0.44,2.8,0.55,40.39,51.26,51.48,55.2,57.77,76.5,85.68,91.1,75.57,64.66,28.07,37.17,37.81,42.57,48.66,63.63,71.52,75.0,61.58,49.12,15.97,22.57,24.13,29.93,39.55,50.77,57.35,58.87,47.6,33.32,62.0,74.0,77.0,78.0,80.0,89.0,100.0,102.0,97.0,85.0,-8.0,2.0,-3.0,18.0,28.0,39.0,49.0,48.0,28.0,23.0
1994-01-01,1830.0,0.74,0.25,0.18,1.58,1.05,0.72,3.51,0.32,1.03,4.42,42.16,38.89,58.1,62.3,77.26,88.4,88.0,92.48,81.63,63.77,29.66,25.66,42.52,47.97,61.65,72.5,71.97,74.73,65.48,50.66,17.16,12.43,26.94,33.63,46.03,56.6,55.94,56.97,49.33,37.55,63.0,63.0,80.0,88.0,96.0,104.0,101.0,101.0,98.0,83.0,-3.0,-10.0,12.0,18.0,28.0,45.0,45.0,49.0,31.0,27.0
1993-01-01,1830.0,0.18,1.02,0.74,1.59,2.44,2.14,1.98,2.01,1.15,1.96,31.06,33.54,50.94,58.93,71.58,78.17,85.13,84.58,73.03,63.52,21.5,22.96,39.11,45.92,57.31,63.95,70.62,70.26,58.27,48.95,11.94,12.39,27.29,32.9,43.03,49.73,56.03,55.94,43.5,34.39,52.0,58.0,79.0,78.0,85.0,96.0,99.0,100.0,97.0,90.0,-7.0,-14.0,1.0,22.0,29.0,40.0,46.0,41.0,28.0,7.0
1992-01-01,1730.0,1.0,0.4,2.04,0.24,0.94,7.04,2.67,4.98,0.33,0.81,38.23,50.45,56.52,67.0,75.74,76.7,82.23,79.52,80.4,67.74,27.42,38.57,43.24,50.85,59.23,64.03,69.15,66.6,63.62,51.82,16.61,26.69,29.97,34.7,42.71,51.37,56.06,53.68,46.83,35.9,53.0,72.0,74.0,83.0,94.0,90.0,97.0,95.0,90.0,87.0,-9.0,20.0,11.0,18.0,28.0,39.0,47.0,42.0,33.0,19.0
1991-01-01,1770.0,0.08,0.22,1.12,0.83,3.38,1.97,2.07,2.29,0.43,0.55,38.35,55.36,54.9,61.97,72.94,83.33,89.61,87.39,81.17,67.65,25.5,39.18,40.5,47.53,59.29,69.47,73.73,71.92,64.07,50.69,12.65,23.0,26.1,33.1,45.65,55.6,57.84,56.45,46.97,33.74,59.0,69.0,73.0,84.0,88.0,97.0,105.0,99.0,96.0,91.0,-3.0,9.0,13.0,14.0,28.0,50.0,51.0,50.0,33.0,3.0
1990-01-01,2030.0,0.34,0.06,1.32,1.42,2.91,0.52,6.51,2.84,0.88,0.94,44.26,40.39,51.81,61.8,67.48,87.4,85.81,84.58,82.67,66.74,31.02,29.32,39.15,47.38,53.94,70.59,71.26,70.15,66.58,50.42,17.77,18.25,26.48,32.97,40.39,54.0,56.71,55.71,50.5,34.1,71.0,61.0,75.0,81.0,87.0,107.0,108.0,99.0,100.0,90.0,6.0,-3.0,9.0,21.0,28.0,42.0,43.0,49.0,36.0,22.0
1989-01-01,1820.0,0.58,0.28,0.26,0.74,1.57,7.42,2.9,2.01,2.14,0.24,46.0,33.71,55.23,65.4,75.03,77.3,90.42,84.13,75.4,68.32,31.34,21.59,39.66,49.47,59.34,63.65,74.32,70.45,61.17,52.24,16.68,9.46,24.1,33.53,43.65,50.0,58.23,56.77,46.93,36.16,64.0,72.0,84.0,91.0,97.0,100.0,105.0,98.0,91.0,92.0,-3.0,-21.0,-8.0,4.0,24.0,40.0,48.0,51.0,32.0,15.0
1988-01-01,1950.0,0.66,0.17,0.86,0.6,6.68,2.59,2.96,1.61,1.94,0.0,29.32,38.86,51.0,60.73,71.29,86.73,88.94,88.77,78.23,68.06,19.03,28.02,36.89,46.43,57.84,72.02,73.26,73.31,62.2,52.21,8.74,17.17,22.77,31.79,44.39,57.14,57.58,57.84,46.17,36.35,49.0,64.0,80.0,82.0,88.0,101.0,100.0,99.0,99.0,84.0,-9.0,-3.0,4.0,21.0,30.0,46.0,49.0,47.0,35.0,19.0
1987-01-01,1780.0,0.26,1.87,1.42,0.4,5.76,3.59,2.63,2.62,0.54,0.33,41.5,48.07,44.52,65.33,70.68,82.1,88.35,82.9,77.23,66.32,28.92,35.3,33.68,50.08,58.94,67.62,72.53,69.11,61.93,49.58,16.33,23.33,22.84,34.83,47.19,53.13,56.71,55.32,46.63,32.84,63.0,70.0,72.0,86.0,82.0,92.0,100.0,100.0,92.0,85.0,-4.0,13.0,2.0,20.0,40.0,41.0,43.0,47.0,37.0,19.0
1986-01-01,2000.0,0.11,1.1,0.44,4.45,3.12,3.35,2.3,1.55,1.86,0.92,41.52,44.11,58.52,60.9,68.26,81.93,88.1,86.58,72.8,62.71,31.08,31.34,44.89,47.57,54.95,68.22,73.11,70.9,59.67,49.45,20.65,18.57,31.26,33.97,41.65,54.31,58.13,55.23,46.53,36.19,55.0,72.0,80.0,79.0,85.0,100.0,100.0,95.0,83.0,75.0,10.0,-10.0,20.0,18.0,32.0,43.0,53.0,43.0,35.0,17.0
1985-01-01,1800.0,0.5,0.03,0.29,2.35,2.58,0.7,3.42,0.46,2.2,0.35,32.61,36.04,54.19,63.3,72.6,82.07,89.23,87.03,73.5,62.03,21.77,24.15,40.02,49.36,58.95,65.76,73.94,71.34,60.64,47.82,10.94,12.52,25.84,35.34,45.48,49.66,58.65,55.65,46.41,33.61,53.0,60.0,78.0,84.0,85.0,101.0,105.0,100.0,102.0,79.0,-12.0,-13.0,7.0,19.0,33.0,36.0,52.0,46.0,14.0,16.0
1984-01-01,1810.0,0.21,0.44,0.76,2.88,2.02,2.4,1.79,0.85,0.56,1.83,29.39,38.59,46.03,49.37,70.87,79.57,89.06,89.26,74.1,57.26,20.26,29.41,35.34,39.45,56.79,65.27,73.74,74.34,58.75,45.44,11.13,20.24,24.65,29.53,42.71,50.97,58.42,59.42,43.4,33.61,45.0,50.0,69.0,68.0,87.0,91.0,98.0,98.0,97.0,78.0,-23.0,8.0,13.0,18.0,31.0,38.0,53.0,50.0,24.0,23.0
1983-01-01,1740.0,0.0,0.17,2.4,1.95,2.69,4.53,3.62,1.97,0.38,0.59,41.39,46.79,46.29,51.9,63.52,73.6,87.87,91.06,83.24,66.68,31.05,34.96,35.9,40.22,51.34,61.77,72.85,76.27,65.33,51.4,20.71,23.3,25.52,28.53,39.16,49.89,57.84,61.48,46.67,36.13,60.0,63.0,69.0,73.0,85.0,89.0,100.0,100.0,100.0,85.0,9.0,8.0,-0.0,8.0,24.0,38.0,46.0,57.0,23.0,26.0
1982-01-01,1490.0,0.08,0.1,1.09,0.8,3.48,2.61,4.95,2.74,1.31,0.13,39.48,43.18,51.1,61.03,66.9,81.78,86.5,85.74,75.87,63.35,24.26,28.7,37.5,44.9,53.74,67.31,72.22,71.92,61.43,48.9,9.03,14.21,23.9,28.77,40.58,52.88,57.94,58.1,47.0,34.45,74.0,74.0,68.0,80.0,85.0,97.0,98.0,95.0,95.0,81.0,-12.0,-25.0,9.0,16.0,30.0,41.67,49.0,51.0,36.0,20.0
1981-01-01,1750.0,0.12,0.15,3.44,2.17,5.59,1.97,3.72,1.99,0.11,1.3,47.26,45.82,48.42,65.77,64.77,80.23,87.35,83.39,81.87,62.77,32.65,31.14,36.77,52.2,53.24,66.4,72.84,69.39,65.27,49.42,18.03,16.46,25.13,38.63,41.71,52.57,58.32,55.39,48.67,36.06,64.0,70.0,72.0,83.0,84.0,100.0,101.0,94.0,93.0,81.0,4.0,-17.0,8.0,22.0,30.0,39.0,49.0,48.0,33.0,18.0
1980-01-01,1600.0,0.6,0.17,1.03,1.5,2.24,4.09,5.71,0.65,0.0,0.29,31.42,39.9,43.73,57.27,67.29,84.97,90.94,87.06,81.47,66.32,20.84,29.12,32.05,44.75,54.65,69.35,75.89,71.63,64.82,50.15,10.26,18.5,20.65,32.23,42.0,53.73,60.84,56.19,48.17,33.97,52.0,63.0,68.0,86.0,83.0,98.0,101.0,100.0,95.0,89.0,-12.0,-2.0,-9.0,17.0,33.0,41.0,53.0,47.0,38.0,17.0
1979-01-01,1910.0,0.17,0.0,1.47,1.45,2.64,2.27,5.31,4.41,0.4,0.76,24.71,40.43,49.97,61.5,65.73,78.7,86.77,82.23,81.47,69.13,13.31,27.32,37.88,47.35,53.13,64.95,72.29,68.05,65.73,53.06,1.9,14.21,25.87,33.2,40.55,51.2,57.81,53.87,50.0,37.0,46.0,65.0,67.0,81.0,84.0,94.0,95.0,99.0,96.0,89.0,-14.0,-11.0,13.0,18.0,26.0,39.0,52.0,45.0,36.0,24.0
1978-01-01,1870.0,0.26,0.43,0.07,0.76,3.44,2.5,0.23,1.25,0.0,0.52,28.81,31.14,51.81,61.57,66.26,81.0,92.71,87.1,82.97,67.55,17.98,20.95,38.42,47.75,53.5,66.7,75.4,70.68,65.53,51.23,7.16,10.75,25.03,33.43,40.74,52.4,58.1,54.26,48.1,34.9,54.0,57.0,79.0,82.0,88.0,96.0,102.0,102.0,95.0,87.0,-11.0,-6.0,-4.0,19.0,27.0,40.0,49.0,45.0,30.0,25.0
1977-01-01,1700.0,0.31,0.0,0.6,2.96,2.95,2.76,2.54,2.78,0.28,0.0,32.68,50.39,48.24,62.53,72.97,84.77,89.71,82.61,82.27,68.07,19.47,35.62,34.72,49.88,59.65,70.17,74.77,69.03,65.47,51.6,6.26,20.86,21.21,37.23,46.32,55.57,59.84,55.45,48.67,35.37,51.0,68.0,70.0,84.0,82.0,96.0,105.0,93.0,98.0,82.0,-11.0,12.0,10.0,12.0,36.0,48.0,50.0,48.0,38.0,20.0
1976-01-01,1500.0,0.2,0.14,0.43,1.16,2.79,2.87,3.97,1.47,1.14,0.0,37.71,49.66,48.52,60.53,69.1,81.03,89.65,87.19,76.93,62.74,25.54,35.74,35.03,47.68,54.89,65.81,74.4,71.58,62.25,46.69,13.36,21.83,21.55,34.83,40.68,50.14,59.16,55.83,47.57,30.65,59.0,70.0,70.0,77.0,87.0,94.0,101.0,100.0,98.0,86.0,-10.0,-1.0,-5.0,20.0,27.0,41.0,50.0,49.0,31.0,16.0
1975-01-01,1560.0,0.15,0.26,0.12,0.52,4.91,0.83,2.74,0.62,0.61,0.15,40.57,40.68,45.97,58.23,67.83,79.43,90.65,89.97,77.03,69.52,27.41,26.88,32.42,43.4,54.35,64.47,74.23,72.82,59.88,52.27,13.63,13.07,18.87,28.57,41.0,49.5,57.81,55.68,42.73,35.03,59.0,61.0,73.0,82.0,83.0,92.0,98.0,99.0,99.0,90.0,-8.0,-3.0,-1.0,-3.0,30.0,38.0,48.0,45.0,30.0,17.0
1974-01-01,1600.0,0.14,0.11,1.07,0.93,0.62,2.77,1.89,1.33,0.19,0.07,32.24,44.96,52.81,60.27,75.42,80.35,92.67,82.58,74.63,68.26,22.03,32.52,39.2,47.03,59.6,65.16,75.47,67.39,58.62,52.18,11.83,20.07,25.83,33.8,43.77,52.41,58.29,52.19,42.6,36.1,52.0,60.0,72.0,82.0,95.0,99.0,100.0,95.0,96.0,87.0,-17.0,-1.0,8.0,20.0,29.0,42.0,46.0,43.0,29.0,26.0
1973-01-01,1900.0,0.23,0.0,2.69,3.57,2.37,2.47,1.32,0.8,2.87,1.11,38.91,43.05,52.16,60.45,69.43,81.78,88.8,86.3,78.31,65.84,26.78,30.35,38.63,46.6,56.12,67.31,73.79,71.51,62.95,51.71,14.64,17.68,25.13,32.7,42.82,52.88,58.77,56.7,47.54,37.58,59.73,65.61,75.46,81.66,88.22,97.0,100.62,98.02,94.73,83.0,-5.98,-2.24,6.15,17.34,29.04,41.67,49.32,47.71,33.49,27.0
1972-01-01,1650.0,0.4,0.01,0.16,1.32,2.56,3.0,4.48,3.61,0.77,0.95,35.52,49.34,52.16,61.79,70.26,82.53,82.13,85.0,75.27,64.71,22.73,35.36,38.63,48.23,56.66,68.62,68.4,70.34,60.85,49.97,10.3,21.38,25.13,33.81,43.06,54.21,54.6,55.68,46.43,35.24,51.0,73.0,75.46,81.0,87.0,88.0,95.0,99.0,93.0,85.2,-15.0,-2.0,6.15,21.0,32.0,42.0,42.0,45.0,28.0,19.41
1971-01-01,1930.0,0.52,0.65,1.49,2.95,3.88,2.06,1.11,1.06,2.04,0.55,40.23,40.86,48.52,59.77,64.0,83.77,86.13,89.45,73.1,63.26,27.69,28.68,35.74,46.93,52.23,68.34,70.77,73.5,58.52,48.37,15.16,16.5,22.97,34.1,40.37,52.83,55.42,57.14,43.48,33.48,64.0,62.0,82.0,81.0,82.0,101.0,99.0,98.0,98.0,85.0,-13.0,-4.0,-1.0,19.0,31.0,43.0,42.0,46.0,28.0,14.0
1970-01-01,1700.0,0.25,0.0,1.24,1.88,1.74,2.12,4.38,0.99,1.19,0.9,38.91,53.75,52.16,57.77,76.43,81.52,90.65,92.26,78.27,60.93,26.78,36.73,38.63,43.83,60.43,65.72,74.27,75.76,61.3,46.45,14.64,19.71,25.13,29.9,44.43,49.93,57.9,59.26,44.32,31.97,59.73,75.0,75.46,78.0,92.0,101.0,99.0,101.0,95.0,89.0,-5.98,11.0,6.15,20.0,25.0,34.0,50.0,52.0,30.0,20.0
1969-01-01,1760.0,0.07,0.12,0.33,0.81,4.07,2.61,1.4,5.02,0.18,4.42,38.91,43.05,52.16,60.45,69.43,81.78,88.8,86.3,78.31,64.71,26.78,30.35,38.63,46.6,56.12,67.31,73.79,71.51,62.95,49.97,14.64,17.68,25.13,32.7,42.82,52.88,58.77,56.7,47.54,35.24,59.73,65.61,75.46,81.66,88.22,97.0,100.62,98.02,94.73,85.2,-5.98,-2.24,6.15,17.34,29.04,41.67,49.32,47.71,33.49,19.41
1968-01-01,1690.0,0.0,0.25,0.96,1.39,3.52,0.73,3.91,3.05,0.22,0.61,38.91,43.05,57.48,58.3,66.35,86.27,89.32,86.3,78.31,64.71,26.78,30.35,41.61,44.28,53.52,69.38,73.44,71.51,62.95,49.97,14.64,17.68,25.74,30.27,40.68,52.5,57.55,56.7,47.54,35.24,59.73,65.61,84.0,77.0,87.0,105.0,103.0,98.02,94.73,85.2,-5.98,-2.24,9.0,8.0,31.0,36.0,49.0,47.71,33.49,19.41
1967-01-01,1580.0,0.14,0.01,0.17,1.09,4.95,5.5,1.08,0.83,1.18,0.46,38.91,43.05,52.16,60.45,69.43,81.78,88.8,86.3,78.31,64.71,26.78,30.35,38.63,46.6,56.12,67.31,73.79,71.51,62.95,49.97,14.64,17.68,25.13,32.7,42.82,52.88,58.77,56.7,47.54,35.24,59.73,65.61,75.46,81.66,88.22,97.0,100.62,98.02,94.73,85.2,-5.98,-2.24,6.15,17.34,29.04,41.67,49.32,47.71,33.49,19.41
1966-01-01,1810.0,0.74,0.24,0.7,1.85,0.84,3.74,2.97,2.78,1.79,0.96,38.91,43.05,52.16,60.45,69.43,81.78,88.8,86.3,78.31,64.71,26.78,30.35,38.63,46.6,56.12,67.31,73.79,71.51,62.95,49.97,14.64,17.68,25.13,32.7,42.82,52.88,58.77,56.7,47.54,35.24,59.73,65.61,75.46,81.66,88.22,97.0,100.62,98.02,94.73,85.2,-5.98,-2.24,6.15,17.34,29.04,41.67,49.32,47.71,33.49,19.41
1965-01-01,1580.0,0.74,0.63,0.68,0.32,4.52,5.66,5.16,1.07,2.43,2.09,38.91,43.05,52.16,60.45,69.43,81.78,88.8,86.3,78.31,64.71,26.78,30.35,38.63,46.6,56.12,67.31,73.79,71.51,62.95,49.97,14.64,17.68,25.13,32.7,42.82,52.88,58.77,56.7,47.54,35.24,59.73,65.61,75.46,81.66,88.22,97.0,100.62,98.02,94.73,85.2,-5.98,-2.24,6.15,17.34,29.04,41.67,49.32,47.71,33.49,19.41
1964-01-01,1560.0,0.04,1.4,1.05,3.56,1.69,4.04,0.66,1.09,0.04,0.3,38.91,43.05,52.16,60.45,69.43,81.78,88.8,86.3,78.31,64.71,26.78,30.35,38.63,46.6,56.12,67.31,73.79,71.51,62.95,49.97,14.64,17.68,25.13,32.7,42.82,52.88,58.77,56.7,47.54,35.24,59.73,65.61,75.46,81.66,88.22,97.0,100.62,98.02,94.73,85.2,-5.98,-2.24,6.15,17.34,29.04,41.67,49.32,47.71,33.49,19.41
1963-01-01,1950.0,0.66,0.39,0.68,0.41,2.64,2.04,4.52,3.53,1.76,0.89,38.91,43.05,52.16,60.45,69.43,81.78,88.8,86.3,78.31,64.71,26.78,30.35,38.63,46.6,56.12,67.31,73.79,71.51,62.95,49.97,14.64,17.68,25.13,32.7,42.82,52.88,58.77,56.7,47.54,35.24,59.73,65.61,75.46,81.66,88.22,97.0,100.62,98.02,94.73,85.2,-5.98,-2.24,6.15,17.34,29.04,41.67,49.32,47.71,33.49,19.41
