Year,Yield_barley,JAN-p,FEB-p,MAR-p,APR-p,MAY-p,JUN-p,JUL-p,AUG-p,SEP-p,OCT-p,JAN-txa,FEB-txa,MAR-txa,APR-txa,MAY-txa,JUN-txa,JUL-txa,AUG-txa,SEP-txa,OCT-txa,JAN-taa,FEB-taa,MAR-taa,APR-taa,MAY-taa,JUN-taa,JUL-taa,AUG-taa,SEP-taa,OCT-taa,JAN-tna,FEB-tna,MAR-tna,APR-tna,MAY-tna,JUN-tna,JUL-tna,AUG-tna,SEP-tna,OCT-tna,JAN-txm,FEB-txm,MAR-txm,APR-txm,MAY-txm,JUN-txm,JUL-txm,AUG-txm,SEP-txm,OCT-txm,JAN-tnm,FEB-tnm,MAR-tnm,APR-tnm,MAY-tnm,JUN-tnm,JUL-tnm,AUG-tnm,SEP-tnm,OCT-tnm
1993-01-01,51.0,0.5,0.73,0.32,1.82,1.22,3.29,2.82,1.63,1.79,1.66,32.94,37.07,53.81,60.86,72.94,81.87,88.74,83.97,76.1,63.16,19.69,24.07,40.48,46.52,57.4,64.88,70.79,68.55,59.52,48.37,6.45,11.07,27.16,32.57,41.87,47.9,52.84,53.13,42.93,33.58,50.0,54.0,75.0,78.0,88.0,98.0,98.0,95.0,94.0,89.0,-16.0,-20.0,8.0,22.0,25.0,31.0,40.0,37.0,28.0,4.0
1992-01-01,49.0,0.88,0.04,2.97,0.67,0.52,3.01,2.71,2.78,0.04,0.21,37.68,48.34,55.03,69.2,76.74,79.6,84.68,84.35,81.9,71.32,24.23,37.05,42.08,52.73,60.13,64.93,69.95,68.9,63.93,53.19,10.77,25.76,29.13,36.27,43.52,50.27,55.23,53.45,45.97,35.06,48.0,67.0,67.0,92.0,90.0,94.0,100.0,97.0,93.0,87.0,-16.0,11.0,3.0,25.0,33.0,40.0,48.0,45.0,32.0,19.0
1991-01-01,28.0,0.22,0.0,0.92,0.69,2.07,2.71,5.93,1.79,0.89,0.46,40.06,54.54,55.16,61.03,74.58,84.47,87.29,85.58,78.4,67.9,25.18,37.23,40.5,47.0,59.4,69.0,71.53,69.74,61.8,49.82,10.29,19.93,25.84,32.97,44.23,53.53,55.77,53.9,45.2,31.74,56.0,65.0,71.0,84.0,87.0,102.0,102.0,95.0,88.0,90.0,-8.0,8.0,11.0,17.0,26.0,45.0,51.0,48.0,32.0,-5.0
1990-01-01,47.0,0.97,0.18,1.93,0.64,1.59,0.52,2.11,2.42,1.16,1.12,45.35,40.36,53.19,64.23,71.87,90.43,85.68,87.0,81.43,68.45,30.81,28.73,40.13,48.68,55.5,72.08,70.77,70.74,65.9,51.74,16.26,17.11,27.06,33.13,39.13,53.73,55.87,54.48,50.37,35.03,68.0,54.0,70.0,80.0,88.0,105.0,105.0,102.0,97.0,87.0,-0.0,-9.0,12.0,17.0,25.0,40.0,42.0,48.0,39.0,24.0
1989-01-01,42.0,1.15,0.44,0.46,0.45,2.42,2.36,1.95,0.9,0.94,0.45,47.81,34.46,60.55,68.2,75.32,79.07,90.65,86.58,78.33,66.84,32.0,23.0,43.27,51.22,59.58,64.63,74.29,70.4,62.42,50.05,16.19,11.54,26.0,34.23,43.84,50.2,57.94,54.23,46.5,33.26,63.0,67.0,82.0,92.0,97.0,101.0,105.0,96.0,95.0,86.0,-5.0,-26.0,-5.0,12.0,25.0,39.0,50.0,46.0,34.0,10.0
1988-01-01,42.0,0.48,0.28,0.77,0.57,4.33,1.21,1.28,0.98,1.16,0.0,34.39,44.1,53.7,66.13,74.16,86.73,91.52,89.81,77.93,69.77,20.84,30.9,37.95,49.2,58.79,70.73,73.5,73.5,61.93,52.66,7.29,17.69,22.42,32.27,43.42,54.73,55.48,57.19,45.93,35.55,50.0,64.0,82.0,80.0,91.0,98.0,100.0,99.0,96.0,80.0,-17.0,-3.0,9.0,15.0,30.0,40.0,45.0,47.0,34.0,24.0
1987-01-01,53.0,0.34,1.01,0.88,0.62,4.97,2.4,1.01,2.3,0.91,0.46,40.42,47.43,50.0,68.33,71.45,84.27,92.19,84.97,77.17,67.9,27.81,35.39,36.69,50.47,57.97,67.62,73.63,70.0,60.47,49.55,15.19,23.36,23.39,32.6,44.48,50.97,55.06,55.03,43.77,31.19,58.0,71.0,70.0,86.0,85.0,96.0,99.0,99.0,91.0,83.0,-8.0,3.0,-1.0,16.0,35.0,42.0,41.0,45.0,32.0,21.0
1986-01-01,45.0,0.12,0.21,0.41,2.46,1.7,1.67,2.6,1.88,1.05,1.01,55.03,50.32,62.35,64.57,72.68,85.3,90.55,87.1,76.6,64.32,38.26,34.48,45.52,50.03,56.39,69.57,73.19,70.73,60.23,49.21,21.48,18.64,28.68,35.5,40.1,53.83,55.84,54.35,43.87,34.1,74.0,74.0,82.0,84.0,91.0,100.0,100.0,100.0,86.0,80.0,6.0,-11.0,15.0,21.0,30.0,41.0,50.0,48.0,30.0,21.0
1985-01-01,44.0,0.57,0.49,0.54,1.43,2.65,1.69,5.17,0.52,2.95,0.29,38.4,39.14,55.06,65.17,73.68,83.67,88.32,89.94,72.97,66.71,25.7,25.12,40.29,49.55,58.1,66.58,72.32,72.05,58.55,49.39,12.42,11.11,25.52,33.93,42.52,49.5,56.32,54.16,44.13,32.06,60.0,64.0,75.0,82.0,85.0,99.0,102.0,100.0,89.0,79.0,-21.0,-25.0,5.0,17.0,33.0,37.0,49.0,44.0,10.0,22.0
1984-01-01,31.0,0.25,0.91,1.09,3.54,1.58,0.92,1.37,4.17,0.46,3.73,33.13,39.55,45.52,53.93,73.84,81.83,89.84,86.58,77.21,56.48,19.18,26.6,33.81,41.63,58.52,65.77,73.9,72.08,60.78,45.05,5.23,13.66,22.1,29.33,43.19,49.7,57.97,57.58,44.67,33.61,46.0,50.0,62.0,75.0,90.0,94.0,98.0,93.0,95.0,78.0,-32.0,-4.0,6.0,11.0,31.0,37.0,51.0,51.0,28.0,18.0
1983-01-01,33.0,0.0,0.21,3.02,2.14,3.08,2.7,2.11,3.35,0.06,0.18,38.58,46.14,46.65,53.2,65.87,76.63,89.06,89.39,83.27,69.81,27.81,34.3,35.6,41.1,52.35,61.73,71.63,73.13,64.53,51.26,17.03,22.46,24.55,29.0,38.84,46.83,54.19,56.87,45.8,32.71,46.0,62.0,69.0,73.0,85.0,95.0,98.0,95.0,97.0,80.0,1.0,5.0,1.0,-0.0,23.0,33.0,42.0,52.0,21.0,19.0
1982-01-01,47.0,0.31,0.17,0.13,0.32,4.07,2.95,1.17,2.2,1.9,0.78,46.13,46.46,56.13,65.27,70.13,77.23,88.87,87.94,76.5,64.58,28.82,29.54,39.5,46.08,55.31,62.35,72.24,72.61,62.32,48.81,11.52,12.61,22.87,26.9,40.48,47.47,55.61,57.29,48.13,32.72,72.0,74.0,70.0,80.0,87.0,96.0,101.0,95.0,95.0,85.0,-15.0,-27.0,7.0,4.0,22.0,38.0,43.0,52.0,39.0,22.0
1981-01-01,35.0,0.15,0.33,3.34,0.98,4.19,1.64,1.84,1.7,0.09,0.77,49.97,51.61,49.65,70.57,67.48,83.87,89.45,84.87,83.13,66.13,32.03,32.68,35.71,53.1,54.63,67.55,72.19,67.98,64.73,50.45,14.1,13.75,21.77,35.63,41.77,51.23,54.94,51.1,46.33,34.77,68.0,72.0,71.0,86.0,84.0,96.0,100.0,99.0,94.0,86.0,-1.0,-22.0,-4.0,15.0,24.0,35.0,45.0,43.0,35.0,21.0
1980-01-01,49.0,0.61,0.25,1.01,1.58,2.93,0.46,2.64,1.74,1.3,0.03,34.84,45.31,49.77,59.63,67.84,88.7,92.06,88.68,82.73,66.81,21.23,30.57,35.73,44.57,54.21,69.73,74.94,71.92,64.73,48.61,7.61,15.83,21.68,29.5,40.58,50.77,57.81,55.16,46.73,30.42,53.0,68.0,70.0,84.0,84.0,100.0,103.0,102.0,95.0,85.0,-16.0,-10.0,-11.0,12.0,30.0,38.0,52.0,44.0,38.0,14.0
1979-01-01,44.0,0.44,0.19,2.35,1.7,1.9,1.74,1.24,3.38,0.25,0.83,28.9,46.32,52.42,63.33,68.45,82.37,90.19,85.23,83.2,70.0,14.45,31.14,39.39,47.93,54.05,64.9,72.5,68.56,64.75,52.15,0.0,15.96,26.35,32.53,39.65,47.43,54.81,51.9,46.3,34.29,49.0,69.0,67.0,81.0,85.0,96.0,98.0,100.0,96.0,88.0,-18.0,-11.0,11.0,9.0,25.0,33.0,48.0,47.0,34.0,21.0
1978-01-01,52.0,0.27,0.31,0.22,0.94,3.75,2.59,1.05,0.82,0.0,1.14,37.23,41.29,57.74,65.1,68.87,82.9,92.61,87.1,83.3,70.42,22.16,28.36,41.23,48.87,54.57,67.12,74.77,69.47,64.18,51.66,7.1,15.43,24.71,32.63,40.26,51.33,56.94,52.1,45.07,32.9,55.0,64.0,80.0,82.0,91.0,98.0,101.0,98.0,95.0,88.0,-9.0,-5.0,-4.0,22.0,20.0,40.0,47.0,43.0,24.0,21.0
1977-01-01,31.0,0.12,0.11,0.74,2.49,1.25,2.06,4.37,0.64,0.03,0.02,41.45,51.5,53.45,63.63,76.06,87.83,90.68,85.55,84.13,69.97,23.6,33.57,35.94,47.52,59.19,71.1,74.0,69.9,65.12,50.11,5.74,15.64,18.42,31.4,42.32,54.37,57.32,54.26,46.1,30.26,57.0,68.0,72.0,83.0,87.0,96.0,100.0,96.0,95.0,86.0,-13.0,6.0,6.0,17.0,33.0,47.0,50.0,42.0,30.0,11.0
1976-01-01,30.0,0.27,0.31,0.57,1.4,3.72,0.96,2.38,0.94,2.1,0.69,46.71,54.48,53.81,64.57,71.74,82.9,91.03,88.0,76.73,63.81,29.48,36.43,36.39,48.5,55.47,64.57,73.35,69.56,60.85,46.5,12.26,18.38,18.97,32.43,39.19,46.23,55.68,51.13,44.97,29.19,65.0,74.0,77.0,77.0,89.0,95.0,102.0,95.0,95.0,85.0,-14.0,1.0,-11.0,17.0,26.0,35.0,48.0,44.0,28.0,13.0
1975-01-01,41.0,0.11,0.23,0.2,1.06,6.06,1.62,1.93,0.83,0.08,0.07,45.13,46.29,52.39,60.7,69.13,80.77,89.37,89.84,77.73,72.68,27.26,28.36,34.97,42.63,51.81,63.05,71.72,70.69,58.9,52.26,9.39,10.43,17.55,24.57,34.48,45.33,54.19,51.55,40.07,31.84,68.0,64.0,73.0,84.0,85.0,93.0,95.0,99.0,90.0,89.0,-20.0,-20.0,-15.0,-9.0,20.0,32.0,45.0,38.0,28.0,14.0
1974-01-01,30.0,0.36,0.49,1.37,1.71,0.17,3.07,3.53,0.42,0.37,0.81,33.52,43.43,56.0,61.4,77.74,84.43,90.94,85.23,76.8,69.68,18.02,29.07,40.79,46.17,59.39,66.88,73.61,67.66,58.27,51.42,2.52,14.71,25.58,30.93,41.03,49.33,56.29,50.1,39.73,33.16,50.0,54.0,73.0,81.0,93.0,98.0,97.0,95.0,94.0,85.0,-29.0,-12.0,7.0,12.0,28.0,36.0,46.0,42.0,26.0,18.0
1973-01-01,29.0,0.86,0.0,1.77,1.62,5.8,1.0,1.07,0.28,3.44,0.7,33.94,40.54,47.39,56.53,69.55,83.8,87.33,90.45,74.73,69.39,21.24,27.75,36.03,41.68,54.4,65.48,70.28,72.11,58.7,51.42,8.55,14.96,24.68,26.83,39.26,47.17,53.42,53.77,42.67,33.45,55.0,53.0,63.0,75.0,85.0,97.0,103.0,97.0,88.0,85.0,-14.0,-10.0,10.0,8.0,29.0,35.0,43.0,46.0,31.0,22.0
1972-01-01,34.0,0.47,0.17,0.49,2.09,2.84,3.02,1.11,2.17,2.16,0.27,42.97,52.1,61.48,65.53,71.48,84.3,87.55,86.65,77.1,66.32,26.9,34.52,43.24,47.82,55.19,67.2,70.03,69.55,61.35,50.6,10.84,16.93,25.0,30.1,38.9,50.1,52.52,52.45,45.6,34.87,64.0,75.0,78.0,82.0,84.0,91.0,100.0,99.0,87.0,85.0,-20.0,-4.0,7.0,19.0,22.0,44.0,43.0,41.0,32.0,13.0
1971-01-01,38.0,0.52,0.88,0.49,1.72,1.14,0.74,0.91,2.26,2.2,0.12,40.65,42.86,52.26,62.33,68.47,87.67,88.26,89.26,74.3,67.13,26.71,28.38,36.24,46.2,52.97,68.57,70.85,72.48,58.62,49.06,12.77,13.89,20.23,30.07,37.55,49.47,53.45,55.71,42.93,31.0,64.0,64.0,82.0,79.0,87.0,99.0,102.0,96.0,95.0,85.0,-30.0,-7.0,-9.0,12.0,29.0,35.0,38.0,48.0,18.0,5.0
1970-01-01,38.0,0.02,0.01,1.15,0.95,1.03,1.9,2.07,1.73,1.5,0.91,45.23,55.21,47.48,59.1,76.42,81.33,89.16,90.2,78.76,61.32,29.73,37.61,32.68,42.97,58.37,64.32,71.79,73.05,59.98,45.08,14.23,20.0,17.87,26.83,40.32,47.3,54.42,56.0,41.1,28.84,69.0,72.0,69.0,79.0,90.0,101.0,98.0,98.0,91.0,84.0,-11.0,10.0,5.0,11.0,22.0,34.0,47.0,50.0,27.0,16.0
1969-01-01,24.0,0.24,0.18,0.72,0.81,5.85,2.71,3.8,2.95,1.52,4.22,48.29,50.11,46.0,67.8,73.74,75.43,90.45,89.81,80.83,52.55,32.6,35.0,31.48,51.73,59.23,60.9,73.85,72.89,64.38,39.81,16.9,19.89,16.97,35.67,44.71,46.37,57.26,55.97,47.93,27.06,65.0,66.0,75.0,82.0,91.0,96.0,102.0,102.0,90.0,85.0,-9.0,13.0,-10.0,22.0,33.0,33.0,52.0,49.0,39.0,1.0
1968-01-01,28.0,0.28,0.35,0.47,1.53,1.88,0.86,2.41,1.83,0.36,0.5,44.13,48.21,57.74,59.14,68.87,88.13,88.35,85.87,80.83,71.16,29.18,32.98,39.95,42.6,52.77,68.75,71.37,68.05,61.75,52.97,14.23,17.76,22.16,26.2,36.68,49.37,54.39,50.23,42.67,34.77,60.0,61.0,77.0,77.0,86.0,103.0,98.0,95.0,94.0,87.0,-12.0,-1.0,6.0,2.0,24.0,38.0,46.0,38.0,32.0,19.0
1967-01-01,31.0,0.66,0.29,0.82,2.46,5.53,4.76,4.57,0.81,1.36,0.67,46.55,49.57,61.35,66.93,68.42,74.0,84.9,84.23,77.83,69.84,31.87,33.66,43.39,49.02,52.92,61.0,69.97,67.35,60.57,52.02,17.19,17.75,25.42,31.1,37.42,48.0,55.06,50.68,43.63,34.19,65.0,69.0,79.0,80.0,93.0,87.0,96.0,95.0,90.0,90.0,-5.0,2.0,-1.0,21.0,23.0,41.0,49.0,44.0,32.0,14.0
1966-01-01,19.0,0.54,0.44,0.77,1.04,0.46,1.22,2.62,2.11,4.78,1.58,40.29,40.71,59.32,62.6,78.29,84.9,93.07,85.19,78.83,67.23,24.56,26.59,41.58,45.64,60.02,66.67,75.77,69.08,62.98,49.71,8.84,12.46,23.84,28.79,41.74,48.43,58.52,52.97,47.13,32.19,58.0,53.0,76.0,80.0,92.0,97.0,100.0,96.0,89.0,81.0,-17.0,-10.0,4.0,12.0,23.0,38.0,52.0,44.0,36.0,12.0
1965-01-01,24.0,0.85,0.87,1.22,0.38,1.79,8.01,2.28,1.52,1.99,0.97,50.39,45.04,42.58,67.07,73.97,75.06,88.42,85.48,70.57,71.81,34.21,29.16,28.21,50.65,57.53,61.72,72.81,69.37,55.67,54.48,18.03,13.29,13.84,34.23,41.1,48.39,57.19,53.26,40.77,37.16,66.0,65.0,70.0,84.0,86.0,82.0,98.0,97.0,88.0,86.0,7.0,-5.0,-9.0,24.0,23.0,41.0,52.0,46.0,25.0,28.0
1964-01-01,14.0,0.02,0.76,0.8,0.97,2.99,1.95,1.64,1.91,1.47,0.12,51.12,42.72,48.13,62.6,75.52,82.13,92.87,87.23,79.8,70.13,35.31,27.69,33.73,46.88,58.77,65.35,74.9,69.52,61.77,52.05,19.5,12.66,19.32,31.17,42.03,48.57,56.94,51.81,43.73,33.97,63.0,64.0,70.0,83.0,93.0,95.0,100.0,95.0,95.0,85.0,11.0,-5.0,4.0,17.0,27.0,40.0,50.0,37.0,28.0,21.0
1963-01-01,14.0,0.7,0.14,1.27,0.97,0.28,2.31,0.85,3.24,4.69,0.13,33.81,50.89,52.58,66.4,78.68,86.37,94.26,85.26,82.0,73.52,17.97,36.48,37.95,49.5,60.71,68.37,76.27,70.77,67.37,58.47,2.13,22.07,23.32,32.6,42.74,50.37,58.29,56.29,52.73,43.42,61.0,74.0,85.0,83.0,90.0,100.0,102.0,101.0,93.0,86.0,-31.0,1.0,-0.0,20.0,32.0,42.0,51.0,50.0,42.0,30.0
