Year,Yield_corn,JAN-p,FEB-p,MAR-p,APR-p,MAY-p,JUN-p,JUL-p,AUG-p,SEP-p,OCT-p,JAN-txa,FEB-txa,MAR-txa,APR-txa,MAY-txa,JUN-txa,JUL-txa,AUG-txa,SEP-txa,OCT-txa,JAN-taa,FEB-taa,MAR-taa,APR-taa,MAY-taa,JUN-taa,JUL-taa,AUG-taa,SEP-taa,OCT-taa,JAN-tna,FEB-tna,MAR-tna,APR-tna,MAY-tna,JUN-tna,JUL-tna,AUG-tna,SEP-tna,OCT-tna,JAN-txm,FEB-txm,MAR-txm,APR-txm,MAY-txm,JUN-txm,JUL-txm,AUG-txm,SEP-txm,OCT-txm,JAN-tnm,FEB-tnm,MAR-tnm,APR-tnm,MAY-tnm,JUN-tnm,JUL-tnm,AUG-tnm,SEP-tnm,OCT-tnm
1994-01-01,141,0.52,0.14,1.06,2.05,0.71,0.8,0.4,1.3,0.73,0.86,49.45,44.0,59.58,62.79,77.84,89.27,89.17,90.42,84.3,65.71,31.77,27.85,41.97,46.33,59.48,69.7,69.84,72.82,65.37,50.66,14.1,11.0,23.97,30.22,41.4,50.13,50.52,55.07,46.43,35.61,67.0,67.0,78.0,85.0,96.0,106.0,100.0,100.0,96.0,80.0,-10.0,-9.0,5.0,14.0,32.0,41.0,38.0,50.0,30.0,20.0
1993-01-01,147,0.12,0.87,0.92,2.0,1.54,2.14,0.61,1.18,2.26,1.56,34.32,39.14,56.29,61.6,73.71,81.23,87.19,84.68,74.5,64.35,21.29,26.39,41.42,46.83,57.61,64.35,69.56,67.74,56.95,46.8,8.26,14.19,26.55,32.24,41.52,47.47,51.94,50.81,39.4,28.5,60.0,59.0,76.0,77.0,87.0,100.0,98.0,99.0,93.0,89.0,-10.0,-11.0,11.0,25.0,27.0,38.0,43.0,44.0,27.0,5.0
1992-01-01,129,0.55,0.0,3.04,0.96,1.4,1.6,1.57,4.77,0.0,0.12,43.84,53.24,55.61,68.63,75.42,79.17,84.48,84.54,84.1,71.34,28.4,37.64,41.29,51.83,58.88,64.17,68.74,68.21,61.33,52.76,13.17,22.03,26.97,35.07,42.6,49.17,53.0,49.81,41.3,34.17,56.0,71.0,73.0,84.0,92.0,92.0,102.0,101.0,94.0,87.0,-9.0,13.0,-1.0,21.0,35.0,40.0,44.0,37.0,34.0,20.0
1991-01-01,144,0.59,0.0,0.69,0.93,1.59,2.54,1.62,3.02,1.64,1.05,38.29,52.85,56.06,60.2,73.55,83.27,87.55,86.32,78.57,66.35,24.58,38.27,42.11,47.43,59.65,68.15,72.15,70.71,61.6,48.95,10.87,23.65,28.16,34.67,45.74,53.03,56.74,55.1,44.63,31.55,54.0,62.0,71.0,84.0,89.0,97.0,101.0,95.0,90.0,90.0,-6.0,13.0,15.0,24.0,31.0,47.0,51.0,51.0,32.0,3.0
1990-01-01,148,0.33,0.49,3.24,0.43,2.03,0.19,1.24,1.88,1.37,0.28,46.77,44.5,49.0,61.97,70.57,88.2,85.73,87.21,81.62,67.19,30.78,29.18,35.24,46.4,54.45,69.2,69.45,69.14,63.74,48.95,14.93,13.86,21.48,30.83,38.33,50.2,52.93,51.07,45.97,31.1,67.0,68.0,72.0,79.0,89.0,104.0,103.0,100.0,97.0,87.0,-0.0,-20.0,2.0,19.0,27.0,39.0,44.0,42.0,34.0,16.0
1989-01-01,135,0.69,0.54,0.11,0.77,1.74,2.77,0.06,1.42,2.03,0.47,44.52,32.46,55.52,65.54,72.9,78.29,92.42,85.87,75.83,67.06,27.62,18.04,38.65,46.95,57.19,64.0,73.85,68.87,59.27,49.15,10.9,3.61,20.67,28.36,41.48,49.9,55.29,51.87,42.7,31.23,64.0,65.0,75.0,88.0,93.0,101.0,105.0,92.0,96.0,89.0,-4.0,-28.0,-10.0,6.0,18.0,40.0,50.0,46.0,31.0,15.0
1988-01-01,144,0.44,0.37,1.5,0.58,2.37,0.82,0.57,1.84,1.37,0.04,36.97,42.5,51.9,65.3,75.68,87.5,89.31,87.9,78.8,69.42,21.56,28.48,37.37,47.77,58.55,70.25,71.21,69.78,58.52,50.4,4.67,14.46,22.84,30.23,41.42,53.0,53.1,52.0,38.79,31.39,59.0,64.0,76.0,80.0,93.0,101.0,98.0,100.0,96.0,81.0,-15.0,-4.0,5.0,8.0,24.0,38.0,45.0,46.0,28.0,16.0
1987-01-01,146,0.58,1.45,1.0,1.09,2.08,2.53,0.46,1.17,0.58,0.88,42.87,47.04,49.65,68.23,73.33,84.37,89.97,86.24,77.67,65.36,27.75,34.67,36.8,50.26,59.97,68.8,72.65,70.09,59.15,48.69,12.6,22.15,23.77,32.31,46.6,53.22,55.32,53.83,42.29,32.93,64.0,69.0,72.0,85.0,86.0,95.0,97.0,102.0,92.0,80.0,-11.0,6.0,10.0,11.0,40.0,45.0,46.0,45.0,33.0,22.0
1986-01-01,131,0.04,0.32,0.73,3.61,1.94,1.56,0.89,1.15,0.76,1.61,52.16,49.07,63.1,62.63,69.9,83.03,89.58,87.45,74.6,63.39,36.69,35.71,47.1,49.1,56.34,68.85,72.89,71.04,59.66,49.43,21.23,22.36,31.1,35.57,42.77,54.67,56.19,54.69,44.9,34.53,71.0,77.0,81.0,83.0,87.0,96.0,99.0,98.0,85.0,76.0,7.0,-2.0,22.0,22.0,33.0,42.0,52.0,49.0,35.0,24.0
1985-01-01,129,0.56,0.37,0.89,2.13,0.8,1.5,1.62,0.04,1.4,0.74,36.48,38.0,55.77,66.2,74.65,81.4,85.35,87.6,72.33,65.58,23.35,23.79,40.97,51.27,59.94,66.77,71.77,71.22,58.33,49.06,10.27,9.57,26.16,36.33,45.23,52.13,58.19,54.81,44.33,32.55,58.0,61.0,77.0,85.0,86.0,99.0,96.0,99.0,89.0,78.0,-18.0,-18.0,3.0,24.0,33.0,42.0,52.0,48.0,18.0,22.0
1984-01-01,124,0.54,0.31,1.38,1.83,0.53,1.46,2.09,1.49,0.32,2.79,36.0,46.0,50.19,54.17,75.42,81.43,90.32,86.48,75.83,56.68,20.81,33.05,36.77,41.85,59.34,66.22,73.47,69.94,59.48,42.89,5.61,20.11,23.35,29.53,43.26,51.0,56.61,53.39,41.75,29.1,58.0,61.0,70.0,78.0,92.0,95.0,99.0,98.0,96.0,75.0,-30.0,12.0,12.0,20.0,32.0,40.0,52.0,48.0,22.0,18.0
1983-01-01,114,0.01,0.11,4.69,1.33,4.94,2.68,2.52,1.25,0.3,0.05,45.61,50.36,49.87,55.8,66.1,77.23,89.1,91.29,83.33,70.06,32.47,35.86,37.79,42.63,52.27,63.18,72.95,74.92,64.72,52.5,19.48,21.36,25.71,29.47,38.35,49.13,57.07,58.55,46.1,34.94,65.0,67.0,71.0,75.0,90.0,97.0,98.0,98.0,98.0,81.0,1.0,4.0,10.0,9.0,27.0,37.0,50.0,55.0,26.0,23.0
1982-01-01,127,0.09,0.15,0.31,0.1,3.62,2.38,1.58,1.22,2.53,0.81,43.47,48.29,57.1,64.83,70.55,77.62,87.7,88.35,76.33,64.06,28.22,31.29,41.15,48.32,56.08,62.86,71.62,73.05,61.66,48.38,12.35,13.62,25.19,32.14,41.61,48.2,55.77,57.74,46.45,32.23,75.0,77.0,71.0,82.0,88.0,97.0,102.0,95.0,96.0,78.0,-6.0,-16.0,11.0,16.0,26.0,40.0,48.0,53.0,32.0,24.0
1981-01-01,117,0.17,0.22,2.34,0.96,3.17,0.28,0.95,0.73,0.87,0.28,50.61,50.46,53.03,69.57,67.81,86.2,87.26,85.77,83.37,63.9,34.1,34.15,40.05,54.42,56.13,70.62,72.73,70.73,65.92,49.18,17.58,16.96,27.06,39.27,44.45,55.03,58.19,55.68,48.47,34.45,67.0,69.0,74.0,87.0,86.0,97.0,103.0,97.0,95.0,81.0,8.0,-16.0,16.0,23.0,32.0,43.0,52.0,50.0,39.0,24.0
1980-01-01,120,1.13,0.62,1.12,2.04,4.25,0.04,0.72,0.93,0.52,0.75,35.03,39.86,47.35,59.66,67.74,88.63,92.48,87.87,81.1,67.29,22.42,27.53,34.9,45.74,55.18,70.45,75.34,71.58,63.92,49.82,9.81,15.21,22.45,31.83,42.61,52.27,58.19,55.29,46.73,32.83,61.0,66.0,67.0,83.0,86.0,100.0,105.0,100.0,92.0,90.0,-13.0,-11.0,-3.0,17.0,35.0,43.0,52.0,45.0,38.0,18.0
1979-01-01,116,0.27,0.26,1.51,1.94,4.31,2.52,0.48,3.99,0.74,0.85,29.06,43.54,52.39,63.5,68.3,80.53,90.32,82.55,83.0,69.87,15.84,29.75,39.74,48.73,55.32,65.8,73.76,67.87,65.32,53.07,2.61,15.96,27.1,33.97,42.0,51.07,57.19,53.19,47.63,36.73,50.0,72.0,70.0,82.0,86.0,95.0,99.0,100.0,96.0,88.0,-17.0,-13.0,11.0,20.0,29.0,38.0,49.0,47.0,36.0,19.0
1978-01-01,92,0.26,0.15,0.71,1.35,6.86,1.21,0.52,1.35,0.11,2.14,34.32,38.07,55.55,64.7,68.32,81.87,90.81,85.03,82.17,68.52,21.79,26.98,41.02,50.03,54.74,67.35,74.21,69.13,64.5,51.35,9.26,15.89,26.48,35.37,41.16,52.83,57.61,53.23,46.83,34.19,55.0,57.0,80.0,81.0,91.0,97.0,101.0,95.0,95.0,87.0,-4.0,-6.0,-3.0,25.0,24.0,41.0,51.0,44.0,30.0,27.0
1977-01-01,97,0.04,0.19,0.83,2.68,0.82,1.59,1.0,1.08,0.01,0.13,40.9,53.0,54.03,63.03,76.35,87.53,89.81,84.1,83.07,71.13,25.26,37.04,39.06,49.4,61.06,71.55,73.56,69.26,64.83,52.4,9.61,21.07,24.1,35.77,45.77,55.57,57.32,54.42,46.6,33.19,56.0,69.0,72.0,82.0,88.0,98.0,100.0,95.0,95.0,82.0,-7.0,9.0,15.0,21.0,37.0,50.0,50.0,45.0,34.0,19.0
1976-01-01,95,0.3,0.41,0.85,1.9,1.8,1.38,1.53,1.27,3.36,0.81,43.03,54.21,50.71,64.1,70.87,83.27,89.39,85.52,74.97,64.81,27.73,39.09,36.71,49.6,56.79,66.28,73.32,69.0,60.2,47.76,12.03,23.97,22.71,35.1,42.71,49.3,57.26,52.48,45.43,30.71,68.0,70.0,72.0,78.0,88.0,94.0,102.0,95.0,96.0,84.0,-7.0,3.0,-4.0,24.0,33.0,38.0,52.0,44.0,33.0,19.0
1975-01-01,92,0.13,0.64,0.34,2.19,3.35,0.81,1.24,1.22,0.69,0.42,44.74,43.07,51.48,57.23,68.0,80.07,89.97,87.26,76.97,70.55,28.87,27.95,37.38,42.8,54.35,63.28,73.16,69.55,59.72,51.63,13.53,12.82,22.87,28.37,40.71,46.5,56.35,51.84,42.8,32.71,66.0,65.0,72.0,85.0,87.0,95.0,98.0,98.0,95.0,87.0,-11.0,-9.0,3.0,-7.0,29.0,34.0,52.0,44.0,32.0,17.0
1974-01-01,98,0.44,0.27,0.7,2.87,0.08,2.88,1.21,0.54,1.19,1.78,34.29,48.54,55.58,61.8,77.68,82.93,90.39,84.19,73.77,67.13,21.63,33.86,40.71,47.22,60.82,66.75,72.19,67.53,57.73,51.66,8.97,19.18,25.84,32.63,43.97,50.57,54.0,50.87,41.7,36.19,58.0,62.0,74.0,82.0,93.0,97.0,98.0,93.0,94.0,84.0,-14.0,5.0,-0.0,21.0,35.0,38.0,49.0,45.0,32.0,27.0
1973-01-01,93,0.97,0.16,1.09,4.76,4.02,0.06,0.57,0.18,2.49,0.26,37.13,42.86,50.26,54.47,68.94,84.17,85.48,90.03,72.63,69.65,22.95,31.14,38.39,41.72,55.32,67.22,69.95,72.11,57.92,51.71,8.77,19.43,26.52,28.97,41.71,50.27,54.42,54.19,43.2,33.77,59.0,55.0,64.0,76.0,88.0,99.0,106.0,96.0,86.0,83.0,-11.0,6.0,19.0,11.0,31.0,36.0,46.0,48.0,30.0,23.0
1972-01-01,99,0.65,0.12,0.43,1.83,0.59,2.63,0.64,1.99,0.85,0.54,45.37,50.24,61.32,61.67,72.55,84.6,85.27,84.48,75.53,63.81,29.43,34.6,44.22,47.87,57.05,68.88,69.23,69.27,60.17,49.18,13.0,18.97,27.1,34.07,41.55,53.17,53.26,54.06,44.8,34.83,62.0,71.0,78.0,79.0,88.0,91.0,99.0,99.0,89.0,85.0,-18.0,-0.0,13.0,23.0,27.0,48.0,42.0,42.0,32.0,17.0
1971-01-01,80,0.54,0.72,0.62,4.45,0.83,0.01,1.16,0.0,3.83,0.3,43.94,43.11,52.39,61.7,68.9,85.97,85.87,88.19,71.53,63.53,30.73,28.7,37.31,47.33,55.32,68.82,70.44,71.79,56.18,48.18,17.52,15.04,22.23,32.97,41.74,51.67,55.0,55.39,40.83,32.83,70.0,68.0,82.0,81.0,86.0,100.0,98.0,95.0,94.0,84.0,-23.0,-6.0,-6.0,17.0,33.0,41.0,45.0,52.0,20.0,20.0
1970-01-01,105,0.04,0.02,1.93,1.16,0.44,3.64,1.21,0.56,3.44,0.77,43.87,55.3,46.55,57.63,76.39,81.63,89.26,89.1,75.07,60.29,29.92,38.31,34.21,43.4,59.92,65.23,71.73,73.18,58.9,45.85,15.97,21.04,21.87,29.17,43.45,48.83,54.19,57.26,42.73,31.42,69.0,69.0,70.0,80.0,90.0,96.0,99.0,98.0,91.0,84.0,-13.0,13.0,4.0,10.0,25.0,37.0,46.0,49.0,30.0,23.0
1969-01-01,94,0.22,0.27,0.5,0.93,4.59,4.03,0.53,1.02,0.15,4.81,46.26,47.86,45.45,67.87,73.42,73.47,88.65,88.71,80.83,50.97,30.77,33.32,31.66,52.4,58.98,61.13,72.97,72.53,63.67,39.4,15.29,18.79,17.87,36.93,44.55,48.8,57.29,56.35,46.5,27.84,68.0,68.0,67.0,81.0,94.0,96.0,100.0,101.0,90.0,83.0,-8.0,6.0,-4.0,27.0,37.0,38.0,52.0,52.0,38.0,-0.0
1968-01-01,88,0.16,0.75,0.65,1.62,1.82,1.05,0.5,1.74,0.5,0.5,41.61,46.93,56.58,58.2,68.71,84.87,87.77,82.71,78.37,69.29,27.56,33.29,40.61,43.32,54.89,67.82,71.43,67.35,59.43,50.58,13.52,19.66,24.65,28.43,41.06,50.77,54.47,52.0,40.5,31.9,64.0,63.0,78.0,78.0,87.0,100.0,98.0,95.0,89.0,85.0,-8.0,-0.0,8.0,15.0,30.0,42.0,46.0,39.0,36.0,15.0
1967-01-01,93,0.55,0.22,0.47,3.85,2.34,5.1,3.49,1.45,0.54,0.99,46.48,49.25,59.5,64.2,66.77,72.43,85.58,85.45,77.82,70.39,31.15,33.95,43.68,49.1,53.8,60.62,71.19,68.79,61.39,52.48,15.81,18.64,26.97,34.0,40.83,49.24,56.81,52.13,44.66,34.58,63.0,66.0,80.0,81.0,91.0,87.0,96.0,96.0,89.0,89.0,-1.0,5.0,-2.0,24.0,28.0,39.0,53.0,45.0,36.0,19.0
1966-01-01,82,0.05,0.62,0.1,0.9,0.66,1.6,0.45,0.47,1.78,0.19,41.65,40.41,59.16,60.57,75.9,79.8,91.03,85.55,78.83,66.94,25.74,25.85,41.87,45.83,58.84,64.13,74.81,69.0,63.08,49.02,9.84,10.78,24.58,31.1,41.77,48.47,58.58,52.45,47.33,31.1,70.0,57.0,78.0,81.0,90.0,93.0,98.0,97.0,90.0,81.0,-15.0,-11.0,6.0,15.0,29.0,39.0,54.0,44.0,39.0,21.0
1965-01-01,80,0.42,0.64,0.94,1.54,2.31,2.09,2.65,0.82,2.7,0.19,47.87,41.29,39.81,64.73,70.48,77.93,86.81,83.35,66.07,71.03,32.63,26.3,27.16,50.13,55.89,63.15,71.34,67.89,53.02,52.85,17.39,11.32,14.52,35.53,41.29,48.37,55.87,52.42,39.97,34.68,65.0,67.0,66.0,83.0,85.0,91.0,96.0,97.0,89.0,84.0,-1.0,-13.0,-9.0,29.0,28.0,37.0,45.0,47.0,28.0,28.0
1964-01-01,69,0.1,0.21,0.97,1.06,1.66,1.28,0.24,0.57,0.09,0.05,46.16,42.0,46.68,60.77,74.71,78.37,92.1,85.45,78.57,70.68,31.24,27.48,32.79,46.07,58.26,63.57,74.53,68.44,60.33,51.31,16.32,12.97,18.9,31.37,41.81,48.77,56.97,51.42,42.1,31.94,65.0,60.0,67.0,82.0,92.0,92.0,98.0,96.0,91.0,88.0,-4.0,-9.0,5.0,14.0,30.0,40.0,50.0,38.0,28.0,20.0
1963-01-01,67,0.68,0.27,1.25,0.01,0.29,4.33,0.59,2.22,1.12,0.25,31.42,52.54,51.1,65.9,78.13,83.07,90.68,83.52,80.5,74.23,15.89,37.45,36.58,50.17,61.13,66.97,73.73,69.53,65.08,56.79,0.35,22.36,22.06,34.43,44.13,50.87,56.93,55.55,49.67,39.35,62.0,70.0,79.0,82.0,90.0,99.0,100.0,95.0,88.0,87.0,-34.0,2.0,-4.0,20.0,33.0,43.0,49.0,52.0,39.0,31.0
